intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.432345200000782,4.432345200000782,space,0.27123570000003383,,,,,561763,001,2023-01-11_16h49.27.824,mental_rotation_bootcamp,2022.2.4,60.01006968952248,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,4.732363500001156,4.732363500001156,space,0.10048269999970216,,,,,561763,001,2023-01-11_16h49.27.824,mental_rotation_bootcamp,2022.2.4,60.01006968952248,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,4.865691099999822,4.865691099999822,space,0.1575420999997732,,,,,561763,001,2023-01-11_16h49.27.824,mental_rotation_bootcamp,2022.2.4,60.01006968952248,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.049031300000934,5.049031300000934,space,0.27904660000058357,,,,,561763,001,2023-01-11_16h49.27.824,mental_rotation_bootcamp,2022.2.4,60.01006968952248,
,,,,,,,,,,,,,,,,,,5.349050400000124,5.349050400000124,5.349050400000124,5.349050400000124,,,,,,,
