intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,5.111135600000125,5.111135600000125,space,1.4932707000007213,,,,,801695,001,2023-01-11_16h55.21.697,mental_rotation_bootcamp,2022.2.4,59.98767853041222,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,6.628037000000404,6.628037000000404,space,0.12096849999943515,,,,,801695,001,2023-01-11_16h55.21.697,mental_rotation_bootcamp,2022.2.4,59.98767853041222,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,6.778047699999661,6.778047699999661,space,0.115316299999904,,,,,801695,001,2023-01-11_16h55.21.697,mental_rotation_bootcamp,2022.2.4,59.98767853041222,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,6.911389700000655,6.911389700000655,space,0.1094569999986561,,,,,801695,001,2023-01-11_16h55.21.697,mental_rotation_bootcamp,2022.2.4,59.98767853041222,
,,,,,,,,,,,,,,,,,,7.044711999998981,7.044711999998981,7.044711999998981,7.044711999998981,,,,,,,
