intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.32818159999988,4.32818159999988,space,0.7148637999998755,,,,,155750,001,2023-01-11_16h36.13.401,mental_rotation_bootcamp,2022.2.4,59.971129897936855,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,5.061418900000717,5.061418900000717,space,0.12611900000047171,,,,,155750,001,2023-01-11_16h36.13.401,mental_rotation_bootcamp,2022.2.4,59.971129897936855,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,5.211469800000486,5.211469800000486,space,0.07172960000025341,,,,,155750,001,2023-01-11_16h36.13.401,mental_rotation_bootcamp,2022.2.4,59.971129897936855,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.3115254000003915,5.3115254000003915,space,0.5481930000005377,,,,,155750,001,2023-01-11_16h36.13.401,mental_rotation_bootcamp,2022.2.4,59.971129897936855,
,,,,,,,,,,,,,,,,,,5.87811210000109,5.87811210000109,5.87811210000109,5.87811210000109,,,,,,,
