intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.339657500000612,4.339657500000612,space,0.30768990000069607,,,,,368410,001,2023-01-11_16h46.16.096,mental_rotation_bootcamp,2022.2.4,60.00160804333434,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,4.674293199999738,4.674293199999738,space,0.11759160000110569,,,,,368410,001,2023-01-11_16h46.16.096,mental_rotation_bootcamp,2022.2.4,60.00160804333434,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,4.82435550000082,4.82435550000082,space,0.07911900000181049,,,,,368410,001,2023-01-11_16h46.16.096,mental_rotation_bootcamp,2022.2.4,60.00160804333434,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,4.924343900000167,4.924343900000167,space,0.07514270000137913,,,,,368410,001,2023-01-11_16h46.16.096,mental_rotation_bootcamp,2022.2.4,60.00160804333434,
,,,,,,,,,,,,,,,,,,5.024284700000862,5.024284700000862,5.024284700000862,5.024284700000862,,,,,,,
