condition,target_angle,letter_angle,flip,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,target.started,letter.started,participant,session,date,expName,psychopyVersion,frameRate,
mirrored,240,240,horiz,0,0,0,49,5.147627300000067,5.147627300000067,135079,001,2023-01-11_13h46.08.238,mental_rotation_bootcamp,2022.2.4,60.046139453567974,
same,120,180,0.0,0,1,1,17,6.130777500000022,6.130777500000022,135079,001,2023-01-11_13h46.08.238,mental_rotation_bootcamp,2022.2.4,60.046139453567974,
same,180,240,0.0,0,2,2,23,7.130820099999937,7.130820099999937,135079,001,2023-01-11_13h46.08.238,mental_rotation_bootcamp,2022.2.4,60.046139453567974,
same,0,0,0.0,0,3,3,0,8.130871999999954,8.130871999999954,135079,001,2023-01-11_13h46.08.238,mental_rotation_bootcamp,2022.2.4,60.046139453567974,
,,,,,,,,9.130959999999959,9.130959999999959,,,,,,,
