intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.761902800000826,4.761902800000826,space,0.2537561999997706,587556,001,2023-01-11_16h45.43.405,mental_rotation_bootcamp,2022.2.4,59.98375639859278,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,5.045236699999805,5.045236699999805,space,0.09998819999964326,587556,001,2023-01-11_16h45.43.405,mental_rotation_bootcamp,2022.2.4,59.98375639859278,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,5.161938000001101,5.161938000001101,space,0.12546910000128264,587556,001,2023-01-11_16h45.43.405,mental_rotation_bootcamp,2022.2.4,59.98375639859278,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.31191630000103,5.31191630000103,space,0.08815819999836094,587556,001,2023-01-11_16h45.43.405,mental_rotation_bootcamp,2022.2.4,59.98375639859278,
