intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.8329002000009496,4.8329002000009496,space,0.27704589999848395,839206,001,2023-01-11_16h45.23.629,mental_rotation_bootcamp,2022.2.4,59.92832572193622,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,5.132904100000815,5.132904100000815,space,0.10458809999909136,839206,001,2023-01-11_16h45.23.629,mental_rotation_bootcamp,2022.2.4,59.92832572193622,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,5.266219200000705,5.266219200000705,space,0.11528750000070431,839206,001,2023-01-11_16h45.23.629,mental_rotation_bootcamp,2022.2.4,59.92832572193622,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.399496800000634,5.399496800000634,space,0.09358909999900789,839206,001,2023-01-11_16h45.23.629,mental_rotation_bootcamp,2022.2.4,59.92832572193622,
