intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.780031199999939,4.780031199999939,space,0.29161310000017693,,,,,432078,001,2023-01-11_16h41.00.442,mental_rotation_bootcamp,2022.2.4,59.966023250806025,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,5.0966919000002235,5.0966919000002235,space,0.10244430000057037,,,,,432078,001,2023-01-11_16h41.00.442,mental_rotation_bootcamp,2022.2.4,59.966023250806025,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,5.230070200001137,5.230070200001137,space,0.11317140000028303,,,,,432078,001,2023-01-11_16h41.00.442,mental_rotation_bootcamp,2022.2.4,59.966023250806025,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.363343099999838,5.363343099999838,space,0.09252550000019255,,,,,432078,001,2023-01-11_16h41.00.442,mental_rotation_bootcamp,2022.2.4,59.966023250806025,
,,,,,,,,,,,,,,,,,,5.479988900000535,5.479988900000535,5.479988900000535,5.479988900000535,,,,,,,
