intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.843222000001333,4.843222000001333,space,0.36941180000030727,,,,,777542,001,2023-01-11_16h31.37.247,mental_rotation_bootcamp,2022.2.4,60.009277433982696,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,5.24455990000024,5.24455990000024,space,0.09562499999992724,,,,,777542,001,2023-01-11_16h31.37.247,mental_rotation_bootcamp,2022.2.4,60.009277433982696,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,5.361331300000529,5.361331300000529,space,0.13938000000052853,,,,,777542,001,2023-01-11_16h31.37.247,mental_rotation_bootcamp,2022.2.4,60.009277433982696,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.527880400000868,5.527880400000868,space,0.4216532000009465,,,,,777542,001,2023-01-11_16h31.37.247,mental_rotation_bootcamp,2022.2.4,60.009277433982696,
,,,,,,,,,,,,,,,,,,5.977910800000245,5.977910800000245,5.977910800000245,5.977910800000245,,,,,,,
