intro_text,loop_intro.thisRepN,loop_intro.thisTrialN,loop_intro.thisN,loop_intro.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,condition,target_angle,letter_angle,flip,expected_key,intro_slides.started,change_slide.started,change_slide.keys,change_slide.rt,target.started,letter.started,part_response.started,fixation_cross.started,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to this experiment and thank you for deciding to participate!,0,0,0,0,,,,,,,,,,4.963995600000999,4.963995600000999,space,0.4476954999990994,,,,,775057,001,2023-01-11_16h38.20.136,mental_rotation_bootcamp,2022.2.4,59.97292822002574,
In this study you will see two letters presented one on the left and the other on the right side of the screen. Your job is to decide whether they are the same letters or not,0,1,1,1,,,,,,,,,,5.430590400001165,5.430590400001165,space,0.07771889999821724,,,,,775057,001,2023-01-11_16h38.20.136,mental_rotation_bootcamp,2022.2.4,59.97292822002574,
To do this you need to mentally rotate the letter on the left to try to match the one on the right. Sometimes the letters are a mirrored version of each other and they cannot be matched with a simple rotation,0,2,2,2,,,,,,,,,,5.530639100001281,5.530639100001281,space,0.10508949999893957,,,,,775057,001,2023-01-11_16h38.20.136,mental_rotation_bootcamp,2022.2.4,59.97292822002574,
If the letters match (are the same) press the A key. If they do not match (mirrored) press the L key.,0,3,3,3,,,,,,,,,,5.663939600000958,5.663939600000958,space,0.40384049999920535,,,,,775057,001,2023-01-11_16h38.20.136,mental_rotation_bootcamp,2022.2.4,59.97292822002574,
,,,,,,,,,,,,,,,,,,6.097277900000336,6.097277900000336,6.097277900000336,6.097277900000336,,,,,,,
